Y,text
1,podcaster makes solemn promise to improve sound quality next episode
1,tsa agent can bring himself to make dad take off comfy shoes
1,law schools now require applicants to honestly state whether they want to go to law school
1,r stine reveals slappy from night of the living dummy was gay
0,psychic helps sniff out missing pet skunk
0,trump netanyahu meet an exercise in fawning fantasy and anti palestinian incitement
1,apple recalls thousands of earbuds that unexpectedly bloomed
0,is your outdated career map leading you astray 
0,not sure what an apple watch is for try these 12 apps
0,comedian bashes snl for not casting an openly gay man in over 30 years
0,barbara boxer tells bob corker it reckless and irresponsible to vote now on iran bill
0,jpmorgan chase hit with multi million dollar fine for shady investment advice
0,102 lgbt people were maimed or killed and still can donate blood
0,huffpollster republican women really don like trump
1,recording academy reminds aging musicians to die before december 15 to be included in 2017 grammy tributes
1,woman longs for caress of boyfriend dry cracked bleeding hands
1,mark zuckerberg admits he unsure why anyone still uses facebook
1,god damns minnesota vikings as requested
0,adopted child doe and amended birth certificates
1,trump vomits immediately after seeing everyday americans up close
1,georgia governor signs bill outlawing abortion except for single 30 second window on third day of fourth week of pregnancy
1,megachurch threatened by new ultrachurch
1,gingrich desperately trying to court people who vote vote
0, the late show updated trump election night speech with annotations
0,grab your wine boxes because will grace is back
1,local hamburger to star in national ad
0,lessons from kodak
1,obese doctors urge nation to eat three meals meal
1,swollen rex tillerson spotted rushing to place mouth over leaks spouting in keystone pipeline
0,on feminism but like being girl
0,celebrities react to bastille day attack with powerful pleas to stop the killing
0,internet enjoys sarah sanders claim that trump is the best negotiator at the table 
1,study finds average american inadvertently eats equivalent of 8 pieces of fruit per year
0,when hiring what problems should avoid 
0,julianne hough lived in pain for years because of endometriosis
1,congressman lets his guitar do the talking
1,cute couple on same antidepressant
1,bartender developing remarkable tolerance for alcoholics
1,whole foods announces it balancing out lower prices on most items by jacking cost of pita chips way up
0,rep calls for more than moment of silence in congress for charleston
0,winston churchill grandson introduces new nickname for donald trump
1,louie anderson now available in pasta form
0,luis gutierrez shoots down steve king and louis gohmert on law protecting child immigrants
0,clearing the aereo
1,aspiring legislator keeps sending unsolicited bills to house of representatives
1,motivational tape gets man excited for 20 minutes
1,advertiser reaches out to youth with off set mixed typography font
0,the only way to know what neil gorsuch really thinks about gay sex is to ask him about it
1,new tech support caste arises in india
1,huckabee sanders warns stormy daniels disclosures just steamy sexy distraction from real issues
1,man burning in hell wishes he hadn snickered at religious leaflet
0,7 genius napping inventions to get you through monday
1,innovative fat man combines waffles with ice cream
0,whatsapp finally adds fully encrypted video calling service
1,target pulls all sponsorship from publicly ignored syrian conflict
1,eric trump poses with carcass of safari guide shot on african hunting trip
0,alton sterling funeral evokes powerful calls for police reform
0,why went to the paris climate talks
0,pennsylvania congressional delegation will no longer be all men
1,african leaders still treating clinton as president
0,salmonella is on the rise because people won stop cuddling their chickens
0,reinventing win win win business relationships
0,caitlyn jenner responds to ricky gervais golden globes jokes
0,gop senator really doesn want to talk about donald trump
1,man wife dies of cancer just like in the movies
0,pope criticizes conservatives at key church gathering
1,parent takes out 100 bill in front of wide eyed 7 year old
1,chained pen yearns to visit rest of bank
0,the outrageous dessert you can make in slow cooker
1,all american ticket hails from alaska panama canal zone
1,soda nearing room temperature
0,responsible gun ownership
1,snowy mountain in pyeongchang figures it can withstand 1 or 2 more big cheers before triggering avalanche
0,california shooters likely planned multiple attacks officials
0,former tennessee judge allegedly voided traffic fines in exchange for sex
0,there finally museum devoted to telling the story of hbcus
1,end of last meals for death row inmates could decimate texas restaurant industry
0,u police chiefs call for background checks for all gun purchases
1,senator struggling to weigh interests of entire constituency against nothing
1,bush to lovely chilean ambassador must paint you 
0,donald trump assault on our values
0,scott walker terrible no good very bad week
1,nation aunts announce their 2018 thanksgiving boyfriend roster
0,j abrams admits alias execs doubted jennifer garner hotness
0,this couple just dropped rap music video to announce their breakup
1,parenting experts warn screen time greatly increases risk of child becoming an influencer
0,watch the benefits of meditation for children
0,why tens of thousands of people are signing up for this online happiness course
0,huffpost hill trump heads to louisiana will distribute the classiest absolute best mres
1,prince harry shows guest to air mattress in corner of windsor castle
1,trump complains about overly complicated controls needed to operate modern day doors
1,bill clinton still waiting for personal apology from monica lewinsky for using power as intern to exploit him sexually
0,blm alicia garza launches census project to mobilize black political power
1,bride always dreamed about making fiancé friends sweat asses off in fucking sun
0,the beverly hills hotel and the dangers of keyboard activism
0,read death of king the real story of dr martin luther king jr final year by tavis smiley
0,healthy looking rose throws ridiculous half court pass out of trap
0,cleveland ohio is magical place
1,tic tac toe grandmaster devises brilliant new gambit
0,wwii veteran reunites with his long lost love after 70 years on skype 
0,cultural gems we bet you ve never heard of
1,local welder suffering from welder block
0,flynn departure leaves trump foreign policy even more disoriented
1,out of control scott walker injured after wildly careening between stances on immigration
0,reinventing reality an interview with the party girl filmmakers in cannes
0,a socal brunch spot was caught using popeyes chicken in its dishes
0,why women should get un tired 
1,gummy bears born conjoined
0,kylie jenner first dye job was adorably amateur
0,how navigated my first 7 years of sobriety
1,aides advise obama to avoid any mention of america during state of the union speech
0,is obamacare repeal over three possible outcomes
0,is the fda sleeping on the job when it comes to sleeping pills 
1,best buy employee wearing different colored shirt for some reason
1,report more women choosing to freeze their eggs until age when sudden unexplained mass infertility places society on verge of collapse
0,yoga master diamond dallas page reluctant destiny
0,microsoft russian hackers exploiting windows flaw
0,hillary clinton takes stand against subminimum wage for people with disabilities
1,ethan hawke body found dumped in laurel canyon as 2019 oscar race heats up
1,conair releases new double sided curling iron for flawless burns
1,man who bought 34th anniversary reissue of fleetwood mac rumours feeling like real idiot after passing display for 35th anniversary edition
1,warning on police body camera footage cautions viewer they about to see pretty much exactly what they expect
1,pony anxiously waiting for attendant to flag large child as too big for ride
1,al roker strongly considers retiring from creating the weather
1,report john grisham slowly but surely climbing list of greatest living american authors
1,new college freshman refers to dorm by actual name
0,5 missing after army helicopter downed near hawaii
0,in celebration of our national anthem bicentennial
0,a stranger was bleeding in the parking lot this man saved his life with shirt and bear hug
1,little league coach reveals creepy method for breaking in baseball mitt
1,man going to show up to launch of k rowling new book dressed as severus snape anyway
1,area grasshopper kind of thorax man himself
0,merkel party beaten by anti immigrant afd in german state election
0,psa these are the places where it ok to breastfeed
0,news roundup for may 31 2017
0,the trailer for netflix the discovery has jason segel and rooney mara exploring the afterlife
0,shake it off what learned from negative review
0,edison electric institute anti solar pr spending revealed
1,all all urged to go fuck yo selves
0,it only takes five minutes to show how thorny america gun control is
0,teen blinded in one eye but lucky to be alive after duct tape challenge
0,obama legacy is proving far harder to erase than trump imagined
1,stresses of white house causing bo to go prematurely gray
1,white house raises official hurricane florence death toll to 17
0,best of abu dhabi learning the games people play through the narcicyst rise
